"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed May 14 16:25:08 GMT 2025","Wed May 14 16:25:08 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testSelectOption","testSelectOption()",""
"passed","Wed May 14 16:25:15 GMT 2025","Wed May 14 16:25:16 GMT 2025","860","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testNavigationPageLink","testNavigationPageLink()",""
"skipped","Wed May 14 16:25:34 GMT 2025","Wed May 14 16:25:34 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testWebFormLink","testWebFormLink()",""
"skipped","Wed May 14 16:25:34 GMT 2025","Wed May 14 16:25:34 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testHeader","testHeader()",""
"passed","Wed May 14 16:25:25 GMT 2025","Wed May 14 16:25:26 GMT 2025","715","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testTextInput","testTextInput()",""
"passed","Wed May 14 16:25:28 GMT 2025","Wed May 14 16:25:29 GMT 2025","662","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testColorPicker","testColorPicker()",""
"skipped","Wed May 14 16:25:08 GMT 2025","Wed May 14 16:25:08 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testPasswordField","testPasswordField()",""
"skipped","Wed May 14 16:25:08 GMT 2025","Wed May 14 16:25:08 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testRadioButton","testRadioButton()",""
"skipped","Wed May 14 16:25:08 GMT 2025","Wed May 14 16:25:08 GMT 2025","0","","ui.POM.WebFormTestWithPOM","","ui.POM.WebFormTestWithPOM","testTextareaField","testTextareaField()",""
"passed","Wed May 14 16:25:30 GMT 2025","Wed May 14 16:25:31 GMT 2025","845","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testReturnLink","testReturnLink()",""
"skipped","Wed May 14 16:25:34 GMT 2025","Wed May 14 16:25:34 GMT 2025","0","","ui.selenide.WebFormTest","","ui.selenide.WebFormTest","testTextInput","testTextInput()",""
"passed","Wed May 14 16:25:14 GMT 2025","Wed May 14 16:25:15 GMT 2025","773","","ui.POM_Factory.HomePageTest","","ui.POM_Factory.HomePageTest","testDropdownMenuLink","testDropdownMenuLink()",""
"passed","Wed May 14 16:25:08 GMT 2025","Wed May 14 16:25:08 GMT 2025","1","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testCloneAndModifySalary","testCloneAndModifySalary()",""
"passed","Wed May 14 16:25:24 GMT 2025","Wed May 14 16:25:25 GMT 2025","870","","ui.POM_Factory.WebFormTest","","ui.POM_Factory.WebFormTest","testSelectOption","testSelectOption()",""
"passed","Wed May 14 16:25:08 GMT 2025","Wed May 14 16:25:08 GMT 2025","4","","ui.BilderTests.WorkerLombokTest","","ui.BilderTests.WorkerLombokTest","testChangeSalaryUsingToBuilder","testChangeSalaryUsingToBuilder()",""
"skipped","Wed May 14 16:25:34 GMT 2025","Wed May 14 16:25:34 GMT 2025","0","","ui.oldTests.HomePageLinkTest","","ui.oldTests.HomePageLinkTest","testNavigationLink","testNavigationLink()",""
